ZIP_Code,Num_Grad_Students,Num_Under_Students,Total_students,Percent_Rent_Bidding
02115,1610,3663,5273,12.96
02134,2778,2310,5088,25.62
02215,2347,2569,4916,11.5
02135,2605,2012,4617,17.33
02120,1997,2287,4284,17.65
02118,1270,662,1932,23.53
02125,821,873,1694,7.32
02130,1322,369,1691,18.47
02119,824,479,1303,17.72
02116,605,382,987,16.74
02111,555,330,885,9.3
02114,555,289,844,14.68
02128,349,426,775,13.81
02127,330,104,434,13.27
02124,112,271,383,12.33
02113,160,193,353,11.76
02122,78,171,249,4.88
02136,46,166,212,6.67
02131,89,119,208,10
02129,64,119,183,12.5
